"accession","title","taxid","slen","organism","locCode","sampleID","Locality","State","Country","N","Lon","Lat"
"MH090599.1","Hetaerina americana voucher HamRCh4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","04","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090600.1","Hetaerina americana voucher HamRCh5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","05","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090601.1","Hetaerina americana voucher HamRCh6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","06","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090602.1","Hetaerina americana voucher HamRCh7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","07","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090603.1","Hetaerina americana voucher HamRCh8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","RCh","08","Río Chonchos","Chihuahua","Mexico",8,-105.187726,27.71242
"MH090604.1","Hetaerina americana voucher HamSA1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SA","01","San Agustín","Hidalgo","Mexico",4,-98.6425,20.52911
"MH090605.1","Hetaerina americana voucher HamSA2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SA","02","San Agustín","Hidalgo","Mexico",4,-98.6425,20.52911
"MH090606.1","Hetaerina americana voucher HamSA3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SA","03","San Agustín","Hidalgo","Mexico",4,-98.6425,20.52911
"MH090607.1","Hetaerina americana voucher HamSA4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SA","04","San Agustín","Hidalgo","Mexico",4,-98.6425,20.52911
"MH090608.1","Hetaerina americana voucher HamSC1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SC","01","Searcy County","Arkansas","USA",2,-92.74495,35.98511
"MH090609.1","Hetaerina americana voucher HamSC2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","SC","02","Searcy County","Arkansas","USA",2,-92.74495,35.98511
"MH090610.1","Hetaerina calverti voucher HamSG1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","01","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090611.1","Hetaerina calverti voucher HamSG10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","10","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090612.1","Hetaerina calverti voucher HamSG2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","02","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090613.1","Hetaerina calverti voucher HamSG3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","03","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090614.1","Hetaerina calverti voucher HamSG4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","04","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090615.1","Hetaerina calverti voucher HamSG5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","05","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090616.1","Hetaerina calverti voucher HamSG6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","06","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090617.1","Hetaerina calverti voucher HamSG7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","07","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090618.1","Hetaerina calverti voucher HamSG8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","08","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090619.1","Hetaerina calverti voucher HamSG9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SG","09","Sacapulas","Quiché","Guatemala",10,-91.089086,15.290081
"MH090620.1","Hetaerina calverti voucher HamSM1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","01","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090621.1","Hetaerina calverti voucher HamSM10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","10","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090622.1","Hetaerina calverti voucher HamSM2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","02","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090623.1","Hetaerina calverti voucher HamSM3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","03","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090624.1","Hetaerina calverti voucher HamSM4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","04","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090625.1","Hetaerina calverti voucher HamSM5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","05","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090626.1","Hetaerina calverti voucher HamSM6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","06","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090627.1","Hetaerina calverti voucher HamSM7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","07","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090628.1","Hetaerina calverti voucher HamSM8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","08","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090629.1","Hetaerina calverti voucher HamSM9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","SM","09","San Marcos","Puebla","Mexico",10,-97.87192,20.39233
"MH090630.1","Hetaerina americana voucher HamSN1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","01","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090631.1","Hetaerina americana voucher HamSN10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","10","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090632.1","Hetaerina americana voucher HamSN2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","02","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090633.1","Hetaerina americana voucher HamSN3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","03","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090634.1","Hetaerina americana voucher HamSN4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","04","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090635.1","Hetaerina americana voucher HamSN5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","05","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090636.1","Hetaerina americana voucher HamSN6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","06","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090637.1","Hetaerina americana voucher HamSN7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","07","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090638.1","Hetaerina americana voucher HamSN8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","08","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090639.1","Hetaerina americana voucher HamSN9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","SN","09","San Nicolás","Sonora","Mexico",10,-109.191303,28.429343
"MH090640.1","Hetaerina americana voucher HamTo1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","To","01","Tomochic","Chihuahua","Mexico",2,-107.853641,28.353155
"MH090641.1","Hetaerina americana voucher HamTo2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","To","02","Tomochic","Chihuahua","Mexico",2,-107.853641,28.353155
"MH090642.1","Hetaerina calverti voucher HamVe1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ve","01","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090643.1","Hetaerina americana voucher HamVe2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Ve","02","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090644.1","Hetaerina calverti voucher HamVe3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ve","03","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090645.1","Hetaerina americana voucher HamVe4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Ve","04","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090646.1","Hetaerina calverti voucher HamVe5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ve","05","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090647.1","Hetaerina calverti voucher HamVe6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,629,"Hetaerina calverti","Ve","06","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090648.1","Hetaerina americana voucher HamVe8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Ve","08","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090649.1","Hetaerina americana voucher HamVe9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,629,"Hetaerina americana","Ve","09","Apazapan","Veracruz","Mexico",9,-96.721044,19.327447
"MH090650.1","Hetaerina americana voucher HamVi1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","01","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090651.1","Hetaerina americana voucher HamVi10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","10","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090652.1","Hetaerina americana voucher HamVi2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","02","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090653.1","Hetaerina americana voucher HamVi3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","03","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090654.1","Hetaerina americana voucher HamVi4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","04","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090655.1","Hetaerina americana voucher HamVi5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","05","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090656.1","Hetaerina americana voucher HamVi6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","06","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090657.1","Hetaerina americana voucher HamVi7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","07","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090658.1","Hetaerina americana voucher HamVi8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","08","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090659.1","Hetaerina americana voucher HamVi9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Vi","09","Villaldama","Nuevo León","Mexico",10,-100.43224,26.49984
"MH090660.1","Hetaerina calverti voucher HamZa1 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","01","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090661.1","Hetaerina calverti voucher HamZa10 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","10","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090662.1","Hetaerina calverti voucher HamZa2 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","02","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090663.1","Hetaerina americana voucher HamZa3 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Za","03","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090664.1","Hetaerina americana voucher HamZa4 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Za","04","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090665.1","Hetaerina calverti voucher HamZa5 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","05","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090666.1","Hetaerina americana voucher HamZa6 cytochrome oxidase subunit I gene, partial cds; mitochondrial",62018,635,"Hetaerina americana","Za","06","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090667.1","Hetaerina calverti voucher HamZa7 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","07","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090668.1","Hetaerina calverti voucher HamZa8 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","08","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
"MH090669.1","Hetaerina calverti voucher HamZa9 cytochrome oxidase subunit I gene, partial cds; mitochondrial",2606447,635,"Hetaerina calverti","Za","09","Zaragoza","Coahuila","Mexico",10,-100.91071,28.48658
